SongNumber,Title,ArtistName,SearchStr,market
369491,I Love It,Beatnuts,i love it beatnuts,us
741921,Goodbye,K-Ci & JoJo,goodbye k-ci & jojo,us
781851,These Days,Hushabye Baby,these days hushabye baby,us
364574,Enchanted Place,Marilyn Mazur,enchanted place marilyn mazur,us
411980,Lost In Musik,DJ Dextro,lost in musik dj dextro,us
351082,Small Town,Jon Cougar Concentration Camp,small town jon cougar concentration camp,us
907166,4-3,Safety Scissors vs. Kit Clayton,4-3 safety scissors vs. kit clayton,us
867326,Neon Question Mark,temposhark,neon question mark temposhark,fr
180906,Metropolis,Cicada,metropolis cicada,pt
269740,Nihilistic,Postmortem Promises,nihilistic postmortem promises,us
196120,Two times a minute (Outro) / Stay rude_ stay rebel,No Sports,two times a minute (outro) / stay rude_ stay rebel no sports,us
334072,Automatique l.o.v.e,Network!,automatique l.o.v.e network!,fr
546341,Sugar Foot Stomp,Coleman Hawkins,sugar foot stomp coleman hawkins,us
535992,Someone (Digitally Remastered),Johnny Mathis,someone (digitally remastered) johnny mathis,us
777094,A Sky To Talk About,Deportees,a sky to talk about deportees,us
468993,Stones In The Road,Joan Baez,stones in the road joan baez,us
71546,Lost Track of You,The Forty-Fives,lost track of you the forty-fives,us
765929,Homesick,Mutated Forms,homesick mutated forms,us
207455,14th Ave. Lullaby,Martin Devaney,14th ave. lullaby martin devaney,us
723822,Fever,Sugarloaf,fever sugarloaf,us
21757,I'll Be With You,Black Lips,i'll be with you black lips,us
697398,Honest I Do,John Schooley And His One Man Band,honest i do john schooley and his one man band,us
945595,Don't Waste My Time,Naked Aggression,don't waste my time naked aggression,us
693704,Ripallus,Morthem Vlade Art,ripallus morthem vlade art,us
648521,Shimmer,Knut Værnes,shimmer knut værnes,us
871990,Two Brothers,Street Pharmacy,two brothers street pharmacy,us
882288,Strong Enough,Bratz,strong enough bratz,us
936756,Pack It Up,Matt Schofield Trio,pack it up matt schofield trio,us
369564,In The Still Of The Night (I'll Remember) (LP Version),Debbie Gibson,in the still of the night (i'll remember) (lp version) debbie gibson,us
164521,Bjällerklang,Rally,bjällerklang rally,us
825085,Joey,Evil Conduct,joey evil conduct,us
155539,Sophisticated Wheels,Gabor Szabo,sophisticated wheels gabor szabo,us
704743,Whitey's Theme (LP Version),Superdrag,whitey's theme (lp version) superdrag,us
735773,Love You Better,Jimpster,love you better jimpster,us
342673,European Vacation,Linus Loves,european vacation linus loves,fr
507203,Tonto,Xutos & Pontapés,tonto xutos & pontapés,pt
22405,Dunce With Denial (Album Version),Frankenbok,dunce with denial (album version) frankenbok,us
506053,You Are_ My Friend,Matt Borghi,you are_ my friend matt borghi,us
32320,Et Alors!,Mélissa Mars,et alors! mélissa mars,fr
533121,Gangstas Make The World Go Round,Westside Connection,gangstas make the world go round westside connection,us
708837,Stupid Girl,The Flower Kings,stupid girl the flower kings,us
722745,Edge Of Glory,Joan Baez,edge of glory joan baez,us
318213,Nothing to Offer,Four Letter Word,nothing to offer four letter word,us
353571,Rocking to the Beat,Pinball,rocking to the beat pinball,us
475906,Hey Man (Instrumental),The Hit Factory,hey man (instrumental) the hit factory,us
611595,The Infinite - Fred Remix,Psychic TV,the infinite - fred remix psychic tv,us
908002,Come In Paradise,Trisomie 21,come in paradise trisomie 21,it
851573,Frozen Ones,Ultravox!,frozen ones ultravox!,us
216902,Think About It (Top Gear),The Yardbirds,think about it (top gear) the yardbirds,us
673013,Sk8er Boi,Avril Lavigne,sk8er boi avril lavigne,us
708195,Traveling Man,John Brown's Body,traveling man john brown's body,us
451771,You Can Touch (1999 Digital Remaster),Crowded House,you can touch (1999 digital remaster) crowded house,us
650467,The Bold Tenant Farmer,Clancy Brothers & Tommy Makem,the bold tenant farmer clancy brothers & tommy makem,us
294351,But You Love Me_ Daddy,Jim Reeves,but you love me_ daddy jim reeves,us
583054,It's On!,Bradley Leighton,it's on! bradley leighton,us
691605,Amar Es Lo Que Quiero,David Bisbal,amar es lo que quiero david bisbal,es
284658,Seal My Fate (Radio Remix),Belly,seal my fate (radio remix) belly,us
319761,Letter To Heaven,Dolly Parton,letter to heaven dolly parton,us
442963,Someday You Will Be Loved (Album Version),Death Cab for Cutie,someday you will be loved (album version) death cab for cutie,us
743566,My Wicked Wicked Ways,Blue Mountain,my wicked wicked ways blue mountain,us
941362,Walk Away,Lo-Pro,walk away lo-pro,us
992704,Big God,Monster Magnet,big god monster magnet,us
985762,Quannum World (Produced by Jumbo the Garbageman for Pregnant Drumz Music),Quannum Projects,quannum world (produced by jumbo the garbageman for pregnant drumz music) quannum projects,us
152908,Would I Love You,Patti Page,would i love you patti page,us
58954,Chainsaw,Daniel Merriweather,chainsaw daniel merriweather,us
272549,NA ZAPADU,Jinx,na zapadu jinx,us
287166,Something Else,Lewis Dodkins,something else lewis dodkins,us
687906,Alfred,Jeff Talmadge,alfred jeff talmadge,us
212514,Great Life,Goat,great life goat,us
496381,Only You,Joshua Radin,only you joshua radin,us
56037,We're all Alone,Natalia,we're all alone natalia,it
619421,Saalik,SolAce,saalik solace,us
852796,Hallelujah,Almighty Feat. Belle Lawrence,hallelujah almighty feat. belle lawrence,us
309923,Beats_ Styles,E.C. Illa,beats_ styles e.c. illa,us
642365,Joyride,Pieces Of A Dream,joyride pieces of a dream,us
533858,P.S.K Remix,Danny Diablo feat. Puerto Rican Myke_ AdMoney & Kavas,p.s.k remix danny diablo feat. puerto rican myke_ admoney & kavas,us
81797,"The Surgeon General's Funky 4/4 Mix Featuring Gangster-B"" (Album Version)""",Gwen Guthrie,"the surgeon general's funky 4/4 mix featuring gangster-b"" (album version)"" gwen guthrie",us
117917,Kerala (2005 Digital Remaster),Sielun Veljet,kerala (2005 digital remaster) sielun veljet,us
255234,Makria,Vicky Leandros,makria vicky leandros,us
389035,Besame Mucho,Trini Lopez,besame mucho trini lopez,us
743936,Do The Dance (Album Version),Sophia Fresh,do the dance (album version) sophia fresh,us
914187,Tonight,The Rubettes,tonight the rubettes,us
299020,First Blow Struck,Peter Blegvad,first blow struck peter blegvad,us
846307,Retard,Hammerhead,retard hammerhead,us
563359,Necrotizing (Intro),Whitechapel,necrotizing (intro) whitechapel,us
573301,Angel (LP Version),Change,angel (lp version) change,nl
201911,1000 Miles,Serge Devant,1000 miles serge devant,fr
303767,Lock Up Your Daughters,Close Shave,lock up your daughters close shave,us
226717,Stadtkind,Ellen Allien,stadtkind ellen allien,us
425725,Technoarmony (Vocal Mix),Mario Piu',technoarmony (vocal mix) mario piu',us
631047,Chant (Album Version),Sweet Honey In The Rock,chant (album version) sweet honey in the rock,us
920489,Common Pleasure [Eagles Ballroom Live Version],Jason Mraz,common pleasure [eagles ballroom live version] jason mraz,us
335812,The Who-Del Mix,Hieroglyphics,the who-del mix hieroglyphics,us
158085,Melekler Intro,Hayko Cepkin,melekler intro hayko cepkin,us
671305,Tender Mercy,The Bluebells,tender mercy the bluebells,us
845293,Them Them That Has Gets,Andrews Sisters,them them that has gets andrews sisters,us
21217,Stabilah,Keziah Jones,stabilah keziah jones,us
216555,Macht die Augen auf,Dritte Wahl,macht die augen auf dritte wahl,us
560676,A Little Talent,Scott H. Biram,a little talent scott h. biram,it
761637,Cheek To Cheek (In A Moonlit World),Electric Boys,cheek to cheek (in a moonlit world) electric boys,us
960587,Sharing The Night Together,Dr. Hook,sharing the night together dr. hook,us
632924,I'm Back,G Unit ft. Lloyd Banks,i'm back g unit ft. lloyd banks,us
544212,Egypt Strut,The Sun Ra Arkestra,egypt strut the sun ra arkestra,us
445531,08.Ceca-Usnule_Lepotice,Ceca Raznatovic,08.ceca-usnule_lepotice ceca raznatovic,us
677418,Bean's Blues,Coleman Hawkins / Red Garland Trio,bean's blues coleman hawkins / red garland trio,us
39478,12 Variations in A minor on a 'Russian Dance' from Wranitzky's 'Das Waldmädchen' WoO71 (1996 Digital Remaster),Emil Gilels,12 variations in a minor on a 'russian dance' from wranitzky's 'das waldmädchen' woo71 (1996 digital remaster) emil gilels,us
520148,Wake Up,Markus,wake up markus,us
164581,It Won't Be Long,Experimental Aircraft,it won't be long experimental aircraft,us
537795,Snow Day,Lisa Loeb,snow day lisa loeb,us
593182,Meet Me At The Station,Reverend Gary Davis,meet me at the station reverend gary davis,us
149210,Holy Pictures,David Holmes,holy pictures david holmes,us
429355,Feel It,Junior Caldera / Vika Kova,feel it junior caldera / vika kova,us
41909,World music,Hypo,world music hypo,us
483698,Postmeridian,Count Bass D,postmeridian count bass d,us
568603,Zydeco Stomp,Rockin' Dopsie_ Jr._ The Zydeco Twisters,zydeco stomp rockin' dopsie_ jr._ the zydeco twisters,us
203724,13 jours en France (Orchestre),Francis Lai,13 jours en france (orchestre) francis lai,fr
350906,Raga Malkauns,Ustad Amjad Ali Khan,raga malkauns ustad amjad ali khan,us
339581,On s'aime,Sera,on s'aime sera,us
630323,You Know The Rest (Album Version),Steve Earle,you know the rest (album version) steve earle,us
477147,Everybody's Somebody's Fool  (LP Version),Betty Carter,everybody's somebody's fool  (lp version) betty carter,us
375743,Bored To Tears,Black Label Society,bored to tears black label society,us
503854,Dub Culture,Bishob,dub culture bishob,us
810506,Roses Montage,Elmer Bernstein & His Orchestra,roses montage elmer bernstein & his orchestra,us
761432,Shaun Alexander Theme,Kid Sensation,shaun alexander theme kid sensation,us
818026,James Dean,The Jets,james dean the jets,us
995777,Paper Wings,Gillian Welch,paper wings gillian welch,us
352162,Bury Me (Acoustic LP Version),Dwight Yoakam Duet with Maria McKee,bury me (acoustic lp version) dwight yoakam duet with maria mckee,us
771502,Used To Love U,John Legend,used to love u john legend,us
634029,Velvet Pony,Psapp,velvet pony psapp,us
308334,Nefi + Girly,Asobi Seksu,nefi + girly asobi seksu,us
399971,Struck Blind,Charlie Peacock,struck blind charlie peacock,us
951139,Aus Böhmen kommt die Musik,Lichtensteiner,aus böhmen kommt die musik lichtensteiner,us
181365,Kadett Kombi,Atze Schröder,kadett kombi atze schröder,us
202977,Your Attention,Meredith Brooks,your attention meredith brooks,us
942954,Jog Trot,Frank Chacksfield And His Orchestra,jog trot frank chacksfield and his orchestra,us
21191,Flor de Loto,Flor de Loto,flor de loto flor de loto,es
717970,We Bow Down (House Of Worship Album Version),Twila Paris,we bow down (house of worship album version) twila paris,us
598955,Colours,Calvin Harris,colours calvin harris,us
21861,Mari Carmen,La Shica,mari carmen la shica,us
229932,Teil des Universums,Alex Pahlke,teil des universums alex pahlke,fr
543237,In Your Eyes Feat. Wayne Hussey,Agressiva 69,in your eyes feat. wayne hussey agressiva 69,us
589143,Perfect Pairs,fIREHOSE,perfect pairs firehose,us
227524,Mystic Rhythms,Rush,mystic rhythms rush,us
850252,When He Calls (2007 Remastered LP Version),Emmylou Harris,when he calls (2007 remastered lp version) emmylou harris,us
673990,Honey Love,Truth Enola,honey love truth enola,us
736068,Skull Crack (We Are Not Sick Men),Praxis,skull crack (we are not sick men) praxis,us
153668,The Elements,The Flies,the elements the flies,us
816228,Smilin',The Poets Of Rhythm,smilin' the poets of rhythm,us
146540,Distant Lover (explicit album version),Lil Boosie,distant lover (explicit album version) lil boosie,us
50344,Frenzied Handsome_ Hello!,Deerhoof,frenzied handsome_ hello! deerhoof,nl
519339,Vitare än snö,Lasse Stefanz,vitare än snö lasse stefanz,us
986019,Visions And ?,Government Issue,visions and ? government issue,us
461662,Hultsfredsfestivalen,Björn Rosenström,hultsfredsfestivalen björn rosenström,us
588586,Bestie Fish,Myslovitz,bestie fish myslovitz,us
409380,Hey Ya'll (2006 Remastered LP Version),Black Oak Arkansas,hey ya'll (2006 remastered lp version) black oak arkansas,us
291646,Calm Down Dearest (Radio Edit),Jamie T,calm down dearest (radio edit) jamie t,es
675674,Queen Of Siam,Holy Moses,queen of siam holy moses,us
166431,Quando monk vir a lobos,Gabriel Grossi,quando monk vir a lobos gabriel grossi,pt
268048,Right Of Way Blues,Blind Lemon Jefferson,right of way blues blind lemon jefferson,us
70763,Born In A Fever,BENEDICTION,born in a fever benediction,us
229338,Contar lo que no puedo contar,Lagartijanick,contar lo que no puedo contar lagartijanick,es
833868,Build High,Frank Black Francis,build high frank black francis,us
407526,Voice of America,Jigsaw,voice of america jigsaw,us
371943,Bellissima,Gigi D'Alessio,bellissima gigi d'alessio,it
313447,Era De Maggio,Andrea Bocelli / Anna Bonitatibus,era de maggio andrea bocelli / anna bonitatibus,it
444562,Nocturnes: No. 11 in G minor Op. 37 No. 1,YUNDI,nocturnes: no. 11 in g minor op. 37 no. 1 yundi,es
319694,5/10,Colin Newman,5/10 colin newman,it
241447,In & Out,Rise & Fall,in & out rise & fall,us
968447,Let it Out (Let it All Hang Out),The Hombres,let it out (let it all hang out) the hombres,us
365548,Boogie At Midnight / Love Don't Love Nobody,Roy Brown,boogie at midnight / love don't love nobody roy brown,us
389492,All I Ever Got,Meow Meow,all i ever got meow meow,us
738648,I Was Made For You,Rivers Cuomo,i was made for you rivers cuomo,us
551318,Skin I'm In,Sly & The Family Stone,skin i'm in sly & the family stone,us
337076,Goosey Gander,Woody Herman & His Orchestra,goosey gander woody herman & his orchestra,us
389455,Stay With Me,Gemini Five,stay with me gemini five,us
987418,Big Salty Tears,The Ziggens,big salty tears the ziggens,us
562377,Supaluvva,Labi Siffre,supaluvva labi siffre,us
734724,YOU MAKE MY LIFE BRAND NEW,John Lee Hooker Jr,you make my life brand new john lee hooker jr,us
493212,Junesong (Spleenless Remix),Talkdemonic,junesong (spleenless remix) talkdemonic,us
899790,Vuelve A Mi,Carlos Ponce,vuelve a mi carlos ponce,es
955081,Don't Waste Another Day (Album Version),The Muffs,don't waste another day (album version) the muffs,us
682413,Can't Be Yo' Man,Fruteland Jackson,can't be yo' man fruteland jackson,us
162223,Three Around Three,John Spiers & Jon Boden,three around three john spiers & jon boden,us
92451,Drz si svoj kurz,Aya,drz si svoj kurz aya,us
143810,Step into the Funk,Stanley Clarke,step into the funk stanley clarke,us
423396,Dirty,Your Dirty Habit,dirty your dirty habit,us
682688,Rodéo,Zazie,rodéo zazie,us
281032,My Girl,Percy Sledge,my girl percy sledge,us
323393,On rakkauteen askel vain,Seija Simola,on rakkauteen askel vain seija simola,us
624796,From Here You Can Almost See The Sea (Album Version),David Gray,from here you can almost see the sea (album version) david gray,us
657269,The Fall Is Too Long,S.U.P,the fall is too long s.u.p,us
958130,Pennsylvania Woman Blues (Take 1-Test),Blind Joe Taggart,pennsylvania woman blues (take 1-test) blind joe taggart,us
957315,Midnight Lover,Eric Burdon And The New Animals,midnight lover eric burdon and the new animals,us
271695,Moment In Life,Boris Brejcha,moment in life boris brejcha,us
256139,La Lune Est Rousse Sur La Baie De Cabourg,Jean-Louis Murat,la lune est rousse sur la baie de cabourg jean-louis murat,fr
14554,Haya,Khadja Nin,haya khadja nin,us
101623,Cricket Song,Sissy Goodhouse,cricket song sissy goodhouse,us
925775,Parliament Hill,Magna Carta,parliament hill magna carta,it
356307,The Black Cat ('03 Mix) (new version),London After Midnight,the black cat ('03 mix) (new version) london after midnight,us
897142,Midnight (LP Version),Sarah Masen,midnight (lp version) sarah masen,us
244846,Sink Or Swim,Tyrone Wells,sink or swim tyrone wells,us
305544,Alice,Smokie,alice smokie,us
226544,In The Heart Of A Rose,Jean Jacques Perrey,in the heart of a rose jean jacques perrey,us
460987,Visions Of Tomorrow,Indica,visions of tomorrow indica,us
817244,Miles Away,Pete Escovedo,miles away pete escovedo,us
816837,Unyielding Conditioning,Fishbone,unyielding conditioning fishbone,us
391738,Don't Push,Sublime,don't push sublime,us
730705,Sommer In Der Stadt,MC Harras & The Sendling 70 Pussy Riders,sommer in der stadt mc harras & the sendling 70 pussy riders,us
570381,Ashes,Pepper,ashes pepper,us
12815,Going Down,Total Eclipse,going down total eclipse,us
764938,Lonely Is As Lonely Does,The Fleetwoods,lonely is as lonely does the fleetwoods,us
765841,Mockingbirds,Grant Lee Buffalo,mockingbirds grant lee buffalo,us
542804,Gun Metal Eyes,Dave Carter & Tracy Grammer,gun metal eyes dave carter & tracy grammer,us
729087,Flight of fantasy (Remix),Radiorama,flight of fantasy (remix) radiorama,us
940943,Interlude 1,Mint Royale,interlude 1 mint royale,fr
333385,Inoculated City,The Clash,inoculated city the clash,us
775782,Sugar Mama,Fleetwood Mac,sugar mama fleetwood mac,us
195366,Find Your Way Back,Foolish Things,find your way back foolish things,us
509255,Suckas Come & Try Me (Explicit Album Version),Dem Franchize Boyz,suckas come & try me (explicit album version) dem franchize boyz,us
669121,It Wasn't God Who Made Honky Tonk Angels,Dolly Parton,it wasn't god who made honky tonk angels dolly parton,us
110488,Ka noutea,Balla et ses Balladins,ka noutea balla et ses balladins,us
57775,In This Room (feat. Paola),Monodeluxe,in this room (feat. paola) monodeluxe,us
129678,You'd Be So Nice to Come Home To,David Murray,you'd be so nice to come home to david murray,us
782167,Blood Of The Moon (Album Version),Dead To Fall,blood of the moon (album version) dead to fall,us
878464,You,Randy Meisner,you randy meisner,us
59944,Dressed as a Clown,Cursor Miner,dressed as a clown cursor miner,us
46501,Behold The Man,Thinking Plague,behold the man thinking plague,us
883571,Bulamadim,Demet Akalin,bulamadim demet akalin,us
381769,1999,Truth Enola,1999 truth enola,us
329872,Thrash Unreal (Album Version),Against Me!,thrash unreal (album version) against me!,us
114223,Your Biggest Fan,Major Matt Mason Usa,your biggest fan major matt mason usa,us
628313,Posed 2 Be,Oddisee,posed 2 be oddisee,us
933608,No More Worries,A Plus,no more worries a plus,us
197744,Almost Out of Gas,Greg Brown,almost out of gas greg brown,us
679331,Blue Ridge Part 2,Wayne Gratz,blue ridge part 2 wayne gratz,us
405171,Searching (For Someone Like You),Kitty Wells,searching (for someone like you) kitty wells,us
713392,Scar Trek - Parasite God,Mortiis,scar trek - parasite god mortiis,us
161181,At The Hop,Danny & The Juniors,at the hop danny & the juniors,us
100149,I've Had It With Blondes (Original Single Mix),Cud,i've had it with blondes (original single mix) cud,us
335096,Lost In Rage Dub,Capdown,lost in rage dub capdown,us
852741,Talks About Blank Shores,Dry Conditions,talks about blank shores dry conditions,us
724219,If I Have To Go,Mary Black,if i have to go mary black,us
748393,Always- A Friend For Life (Single Version),Warzone,always- a friend for life (single version) warzone,us
128398,Angie Baby (2006 Digital Remaster),Helen Reddy,angie baby (2006 digital remaster) helen reddy,us
773550,Love Don't Choose,The Ides Of March,love don't choose the ides of march,us
809494,A Question,Chymera,a question chymera,fr
215508,Spora N. 23 - Pace De La Monta (Parte II),Marlene Kuntz,spora n. 23 - pace de la monta (parte ii) marlene kuntz,us
800308,Viva Che',Acoustic Alchemy,viva che' acoustic alchemy,us
177454,Rena,Blue Rodeo,rena blue rodeo,es
643205,Anyway U Want It,Ms. Dynamite / Keon Bryce,anyway u want it ms. dynamite / keon bryce,us
465938,Event Horizon,Jamie Janover,event horizon jamie janover,us
630373,Devoid,Devin Townsend,devoid devin townsend,nl
308366,Arránca la vida,Trío Los Panchos,arránca la vida trío los panchos,es
295559,Satin Doll,Duke Ellington And His Orchestra,satin doll duke ellington and his orchestra,us
745479,On A Slow Boat To China,Guy Lombardo,on a slow boat to china guy lombardo,us
736176,Leron_ Leron Sinta (Dear Little Leron),Bayanihan Phillipine Dance Company,leron_ leron sinta (dear little leron) bayanihan phillipine dance company,fr
854668,Jah Jah Is Calling,Inner Circle,jah jah is calling inner circle,us
221533,I Know You,Styles P,i know you styles p,us
246461,Life And Death (Remix),World Of Twist,life and death (remix) world of twist,us
766652,Day That Never Ends,Rezound,day that never ends rezound,us
442231,Kid Please Try Harder,Faker,kid please try harder faker,us
298364,Calamity man,Batmobile,calamity man batmobile,us
534152,Anyone Of Us (Stupid Mistake),Gareth Gates,anyone of us (stupid mistake) gareth gates,us
978126,Be Still (Going Public Album Version),Newsboys,be still (going public album version) newsboys,us
193460,Friendship,Miklós Rózsa,friendship miklós rózsa,us
806554,Skinthieves,Moodswings;Jeff Beck,skinthieves moodswings;jeff beck,us
41190,My Lover's Prayer,Otis Redding,my lover's prayer otis redding,us
546268,What It Is (AKA Nina's Song) (Demo) (),Red Hot Chili Peppers,what it is (aka nina's song) (demo) () red hot chili peppers,us
50189,Veinte Años,Pio Leyva,veinte años pio leyva,es
532101,Russian Mafia,Hog Molly,russian mafia hog molly,us
21739,Show Time,Atllas,show time atllas,us
509777,Strictly Physical - sKfARhOt RMX,Monrose,strictly physical - skfarhot rmx monrose,us
695354,Miss Me Blues,Lightnin' Hopkins,miss me blues lightnin' hopkins,us
469785,Courante,Haggard,courante haggard,it
821691,Sho' You Right,Barry White,sho' you right barry white,us
729411,Imperiet,Promoe,imperiet promoe,us
264263,El Ausente,Los Player's,el ausente los player's,es
517823,When,Dare,when dare,us
355174,Eyes On My Ride (Featuring Pho Balo),U.D.I.,eyes on my ride (featuring pho balo) u.d.i.,us
71885,Home Is Where You Hang Yourself,Every Time I Die,home is where you hang yourself every time i die,us
314126,Open your Eyes,Call To Preserve,open your eyes call to preserve,us
416084,8 Miles From Memphis,The Grid,8 miles from memphis the grid,us
231566,Sunday Morning Awake (Album Version),Reach The Sky,sunday morning awake (album version) reach the sky,us
624965,Before I Was Smart,Pelle Carlberg,before i was smart pelle carlberg,us
467755,Silverio - Original,Pedro Padilla Y Su Conjunto,silverio - original pedro padilla y su conjunto,es
122485,B. House,Last Days Of April,b. house last days of april,us
771063,Johnny's Boogie (Instrumental),Johnny Dyer,johnny's boogie (instrumental) johnny dyer,us
467522,Rock Me,Heavy Pettin,rock me heavy pettin,us
326939,Sa Mi Je Za,Daleka Obala,sa mi je za daleka obala,us
510023,I Gotta Right to Sing the Blues,Billie Holiday,i gotta right to sing the blues billie holiday,us
601132,Taylor Deupree,taylor deupree + christopher willits,taylor deupree taylor deupree + christopher willits,us
533120,Like You'll Never See Me Again,Alicia Keys,like you'll never see me again alicia keys,us
244382,Ultralight Lovegun,Dive,ultralight lovegun dive,it
554567,I Quit My Pretty Mama,Ivory Joe Hunter,i quit my pretty mama ivory joe hunter,us
159475,Martin Luther King Day,Times New Viking,martin luther king day times new viking,us
844214,Nawy Tekhaleny,Abdul Majeed Abdullah,nawy tekhaleny abdul majeed abdullah,us
656895,The Boys Are Back In Town,The Rumble Strips,the boys are back in town the rumble strips,us
603405,Platinum In Da Ghetto,Lil Keke,platinum in da ghetto lil keke,nl
964186,Birth After Birth (Single Version),Cause For Alarm,birth after birth (single version) cause for alarm,us
258150,The Rock (LP Version),Harry Chapin,the rock (lp version) harry chapin,us
228641,White Christmas,Junior Mance Trio,white christmas junior mance trio,us
940722,Palo Palo,Maracaibo 15,palo palo maracaibo 15,us
586643,Donna Lee,Charlie Parker,donna lee charlie parker,nl
967898,College (Remix),Dezz White,college (remix) dezz white,us
698321,Rattlesnakeplumcake,Amon Düül 2,rattlesnakeplumcake amon düül 2,us
275207,Graveyard Tree III,Koffin Kats,graveyard tree iii koffin kats,us
991144,Mana Burn,Out Of Grace,mana burn out of grace,us
44529,Adverstisement,Blue Sky Boys,adverstisement blue sky boys,us
483205,Reason To Live,C-Systems,reason to live c-systems,us
763950,Metamorfose,Dealema,metamorfose dealema,pt
2835,Good Time,The Mighty Hannibal,good time the mighty hannibal,us
612699,Why You Been Gone So Long,Jessi Colter,why you been gone so long jessi colter,us
238801,Le val d'amour,Bruno Pelletier/patrick Fiori,le val d'amour bruno pelletier/patrick fiori,it
168711,Fire,Crazy World Of Arthur Brown,fire crazy world of arthur brown,us
508683,Colombaiao,Hector Martignon,colombaiao hector martignon,pt
214002,The Narrator,Shocking Pinks,the narrator shocking pinks,us
995198,Roll Over Beethoven,Sleepy LaBeef,roll over beethoven sleepy labeef,nl
661767,Love Is Gone (Babjak Studio Demo),The Smithereens,love is gone (babjak studio demo) the smithereens,us
763575,sweet dystopia,End-Time Illusion,sweet dystopia end-time illusion,us
421236,Take It From Me,Farewell,take it from me farewell,us
575900,(I Can't Get No) Satisfaction [London],Otis Redding,(i can't get no) satisfaction [london] otis redding,us
17919,It's All Your World,Seth Lakeman,it's all your world seth lakeman,us
298858,Public Enemy No. 1 (live),Public Enemy,public enemy no. 1 (live) public enemy,fr
901809,Pigs 'Ere Purse,Vivian Stanshall,pigs 'ere purse vivian stanshall,us
844784,Laughing Man,Red Rider,laughing man red rider,us
113146,Cause I Love You,The Mar-Keys,cause i love you the mar-keys,us
402244,Dear Employee,Papercuts,dear employee papercuts,us
12724,Newport News-Blues (Take 1),Memphis Jug Band,newport news-blues (take 1) memphis jug band,us
339992,The River,Lord Melody,the river lord melody,us
10912,Romances_ Op. 39: I. Fra Monte Pincio (From Monte Pincio),Berlin Symphony Orchestra,romances_ op. 39: i. fra monte pincio (from monte pincio) berlin symphony orchestra,us
42646,Sleeping dogs and dead lions,Oceansize,sleeping dogs and dead lions oceansize,us
128034,Carita de Angel (Versión Acústica),Maria Daniela Y Su Sonido Lasser,carita de angel (versión acústica) maria daniela y su sonido lasser,es
786917,Morire Per Delle Idee,Fabrizio De Andrè,morire per delle idee fabrizio de andrè,it
569968,I Will Worship You/ I Exalt Thee (Album Version),Carlene Davis,i will worship you/ i exalt thee (album version) carlene davis,us
577230,Basin Street Blues,Ella Fitzgerald,basin street blues ella fitzgerald,us
632142,Ootsä mun äijä,Uniikki / GBRL,ootsä mun äijä uniikki / gbrl,us
857627,Politicians,Nucleus Roots,politicians nucleus roots,fr
396956,Idol,Manikin,idol manikin,us
304952,Dulce Pesadilla,Ana Torroja y Miguel Bosé,dulce pesadilla ana torroja y miguel bosé,es
826834,The Winds Of Heaven,Bob Dorough,the winds of heaven bob dorough,us
867098,Sick in the Hat,2 Dirty,sick in the hat 2 dirty,us
484662,Fallaste corazón,Amalia Mendoza,fallaste corazón amalia mendoza,es
818795,Korabli,Dino MC 47,korabli dino mc 47,us
341671,Unconditional Love,Nancy Sinatra,unconditional love nancy sinatra,it
19866,Aquarium Man,DJ Harry,aquarium man dj harry,us
139331,Egg Race,Statuesque,egg race statuesque,fr
449940,Alpha,Vangelis,alpha vangelis,nl
806358,When Will You Come Back To Me (Dubapella Mix),Pure Pleazure,when will you come back to me (dubapella mix) pure pleazure,us
577883,Georgy Girl,Ray Conniff,georgy girl ray conniff,us
264152,There They Go,Obie Trice,there they go obie trice,us
753499,MOSARETU Women,Ryuichi Sakamoto,mosaretu women ryuichi sakamoto,us
736117,Life Garden,Chase Pagan,life garden chase pagan,us
497574,Unite,Larue,unite larue,us
872818,Humour Tumour,Texas Faggott,humour tumour texas faggott,us
743579,Alumni (LP Version),Todd Barry,alumni (lp version) todd barry,us
738678,Back To Nowhere,Valerie Simpson,back to nowhere valerie simpson,us
609348,Breathe No More (Live in Europe),Evanescence,breathe no more (live in europe) evanescence,us
269604,Five Percent Nation,Gerty Farish,five percent nation gerty farish,us
728791,With Oden On Our Side,Amon Amarth,with oden on our side amon amarth,us
639280,Absinthe,Death SS,absinthe death ss,us
949060,Sole Di Settembre - Half Playback,Finley,sole di settembre - half playback finley,us
346004,The Surface Of Things,Early Day Miners,the surface of things early day miners,us
26389,Mormons/Gay Marriage/Chimp Prostitution,Joe Rogan,mormons/gay marriage/chimp prostitution joe rogan,us
614347,1979 (Vocal Mix),The Smashing Pumpkins,1979 (vocal mix) the smashing pumpkins,us
548063,Brink of Control,Gruf the Druid,brink of control gruf the druid,us
141980,Curtains,John Frusciante,curtains john frusciante,fr
944481,Carol,The Rolling Stones,carol the rolling stones,us
929366,Gloria (2006 Digital Remaster),Horsepower,gloria (2006 digital remaster) horsepower,us
755703,Welcoming War,Mastodon,welcoming war mastodon,us
753452,The Calling,Force of Evil,the calling force of evil,us
967248,Pulp,Brown Shoe,pulp brown shoe,us
991394,2000 Black,Roy Ayers,2000 black roy ayers,us
230653,Runner's Legs,Fleshies,runner's legs fleshies,us
